archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c001_s006_ed0.07_te20000._ep 5.0.dat,Cr,9.305594111071038,17.67480692963858,-0.32120175158072517,-1.1220483293381172,15.0268,30.0,0.0,1,0.0004,83.64,0.07,20000.0,0.0,crecimiento,68.52000000000001,35.28,0.0,0.0
Fe_3d_altura_c002_s003_ed0.99_te20000._ep 5.0.dat,Fe,6.549862361912654,10.105285745588791,0.2174992634268835,-1.2115862693438533,7.6952,25.0,0.0,1,0.0004,68.52000000000001,0.99,20000.0,0.0,crecimiento,37.68,1.32,0.0,0.0
Fe_3d_altura_c004_s005_ed0.91_te20000._ep 5.0.dat,Fe,9.630936976224069,18.07580703592512,-0.30663977451031066,-1.1813286203290998,15.2964,30.0,0.0,1,0.0004,83.44,0.91,20000.0,0.0,crecimiento,68.12,36.919999999999995,0.0,0.0
Fe_3d_altura_c001_s004_ed0.79_te20000._ep 5.0.dat,Fe,8.125372203167064,14.02248194864233,-0.0654786720126028,-1.2139172295475973,11.4284,30.0,0.0,1,0.0004,78.24,0.79,20000.0,0.0,crecimiento,56.599999999999994,14.799999999999999,0.0,0.0
Cr_3d_altura_c001_s005_ed0.07_te20000._ep 5.0.dat,Cr,9.305594111071038,17.67480692963858,-0.32120175158072517,-1.1220483293381172,15.0268,30.0,0.0,1,0.0004,83.64,0.07,20000.0,0.0,crecimiento,68.52000000000001,35.28,0.0,0.0
Fe_3d_altura_c004_s006_ed0.91_te20000._ep 5.0.dat,Fe,9.630936976224069,18.07580703592512,-0.30663977451031066,-1.1813286203290998,15.2964,30.0,0.0,1,0.0004,83.44,0.91,20000.0,0.0,crecimiento,68.12,36.919999999999995,0.0,0.0
Cr_3d_altura_c001_s002_ed0.07_te20000._ep 5.0.dat,Cr,4.697129319062868,6.314649633986038,0.7387387603084319,-0.5961658661937301,4.2204,20.0,0.0,10,0.004,53.559999999999995,0.07,20000.0,0.0,coalescencia,12.68,0.0,0.0,0.0
Fe_3d_altura_c005_s003_ed0.50_te20000._ep 5.0.dat,Fe,6.628912321037291,10.159429117819563,0.2339618695161093,-1.204848451741953,7.6988,25.0,0.0,2,0.0008,67.75999999999999,0.5,20000.0,0.0,crecimiento,38.279999999999994,1.68,0.0,0.0
Cr_3d_altura_c002_s004_ed0.22_te20000._ep 5.0.dat,Cr,8.446918074658946,14.369634650887962,-0.027345252473936023,-1.1974351651751913,11.6248,30.0,0.0,1,0.0004,77.08,0.22,20000.0,0.0,crecimiento,56.92,16.68,0.0,0.0
Cr_3d_altura_c004_s002_ed0.13_te20000._ep 5.0.dat,Cr,4.660566334685089,6.342018606090651,0.629002127237299,-0.8931754910424572,4.3012,18.0,0.0,8,0.0032,54.48,0.13,20000.0,0.0,coalescencia,13.08,0.0,0.0,0.0
